item_id	omeka_id	error
IL-MTFN-001-G-F-0063-001-R0001	8123	
IL-MTFN-001-G-F-0064-001-R0003	8124	
IL-MTFN-001-G-F-0064-001-R0006	8125	
IL-MTFN-001-G-F-0065-001-R0001	8126	
IL-MTFN-001-G-F-0065-001-R0002	8127	
IL-MTFN-001-G-F-0066-001-R0001	8128	
IL-MTFN-001-G-F-0066-001-R0003	8129	
IL-MTFN-001-G-F-0066-001-R0004	8130	
IL-MTFN-001-G-F-0069-001-R0001	8131	
IL-MTFN-001-G-F-0071-001-R0002	8132	
IL-MTFN-001-G-F-0071-001-R0003	8133	
IL-MTFN-001-G-F-0071-001-R0004	8134	
IL-MTFN-001-G-F-0071-001-R0005	8135	
IL-MTFN-001-G-F-0071-001-R0006	8136	
IL-MTFN-001-G-F-0071-001-R0008	8137	
IL-MTFN-001-G-F-0071-001-R0011	8138	
IL-MTFN-001-G-F-0071-002-R0002	8139	
IL-MTFN-001-G-F-0071-002-R0004	8140	
IL-MTFN-001-G-F-0071-002-R0006	8141	
IL-MTFN-001-G-F-0071-002-R0007	8142	
IL-MTFN-001-G-F-0073-001-R0001	8143	
IL-MTFN-001-G-F-0074-001-R0001	8144	
IL-MTFN-001-G-F-0077-001-R0002	8145	
IL-MTFN-001-G-F-0077-001-R0003	8146	
IL-MTFN-001-G-F-0077-001-R0005	8147	
IL-MTFN-001-G-F-0077-002-R0001	8148	
IL-MTFN-001-G-F-0080-001-R0001	8149	
IL-MTFN-001-G-F-0081-001-R0001	8150	
IL-MTFN-001-G-F-0081-001-R0002	8151	
IL-MTFN-001-G-F-0082-001-R0001	8152	
IL-MTFN-001-G-F-0083-001-R0001	8153	
IL-MTFN-001-G-F-0083-001-R0003	8154	
IL-MTFN-001-G-F-0083-001-R0004	8155	
IL-MTFN-001-G-F-0083-001-R0005	8156	
IL-MTFN-001-G-F-0083-001-R0006	8157	
IL-MTFN-001-G-F-0084-001-R0002	8158	
IL-MTFN-001-G-F-0084-001-R0004	8159	
IL-MTFN-001-G-F-0084-001-R0005	8160	
IL-MTFN-001-G-F-0085-001-R0002	8161	
IL-MTFN-001-G-F-0085-001-R0004	8162	
IL-MTFN-001-G-F-0085-001-R0005	8163	
IL-MTFN-001-G-F-0085-001-R0006	8164	
IL-MTFN-001-G-F-0085-001-R0007	8165	
IL-MTFN-001-G-F-0085-001-R0008	8166	
IL-MTFN-001-G-F-0087-001-R0002	8167	
IL-MTFN-001-G-F-0087-001-R0004	8168	
IL-MTFN-001-G-F-0087-001-R0005	8169	
IL-MTFN-001-G-F-0087-001-R0006	8170	
IL-MTFN-001-G-F-0089-001-R0001	8171	
IL-MTFN-001-G-F-0089-001-R0002	8172	
IL-MTFN-001-G-F-0089-001-R0003	8173	
IL-MTFN-001-G-F-0091-001-R0001	8174	
IL-MTFN-001-G-F-0091-001-R0002	8175	
